id,category,question,expected_answer,source_docs,answerable,difficulty,tags,latency_seconds,retrieved_count,retrieved_identifiers,hit_at_k,first_relevant_rank,reciprocal_rank,error
Q001,company,CloudOrder主要服务什么类型的客户？,面向零售、电商和连锁门店，提供订单、库存、支付回调和履约协同能力。,01_company/01_company_profile.md,yes,easy,single-hop,0.507,5,"[""01_company\\01_company_profile.md"", ""02_architecture\\03_system_architecture.md"", ""07_product\\23_sla_and_support.md"", ""07_product\\25_customer_faq.md"", ""10_legacy\\30_old_sla_2024.md""]",True,1,1.0,
Q002,security,CloudOrder会保存银行卡号和CVV吗？,不会。平台只保存渠道交易号、金额、状态和脱敏后的支付方式。,01_company/01_company_profile.md,yes,easy,safety,0.468,5,"[""01_company\\01_company_profile.md"", ""05_operations\\19_runbook_payment_callback.md"", ""07_product\\25_customer_faq.md"", ""09_changes\\28_changelog_2026.md"", ""03_api\\09_webhook_spec.md""]",True,1,1.0,
Q003,operations,L1客服能直接查询生产数据库吗？,不能。L1负责收集信息，生产只读查询由L2按权限执行。,01_company/02_team_and_escalation.md,yes,easy,permission,0.448,5,"[""01_company\\02_team_and_escalation.md"", ""06_security\\21_data_classification.md"", ""07_product\\25_customer_faq.md"", ""01_company\\01_company_profile.md"", ""05_operations\\18_runbook_kafka_backlog.md""]",True,1,1.0,
Q004,operations,P0事件需要在多久内建立事件频道？,5分钟内，并立即通知SRE值班负责人和事故指挥官。,01_company/02_team_and_escalation.md,yes,easy,sla,0.446,5,"[""05_operations\\15_oncall_handbook.md"", ""01_company\\02_team_and_escalation.md"", ""07_product\\25_customer_faq.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""06_security\\21_data_classification.md""]",True,2,0.5,
Q005,architecture,外部请求进入后首先经过哪些基础组件？,先进入腾讯云CLB，再由API Gateway完成TLS终止、限流、租户识别和鉴权。,02_architecture/03_system_architecture.md,yes,easy,single-hop,1.202,5,"[""05_operations\\19_runbook_payment_callback.md"", ""05_operations\\18_runbook_kafka_backlog.md"", ""04_deployment\\11_kubernetes_deployment.md"", ""06_security\\21_data_classification.md"", ""07_product\\24_refund_policy.md""]",False,,0,
Q006,architecture,核心事务数据和热点幂等结果分别存在哪里？,核心事务数据在PostgreSQL，热点与幂等结果在Redis。,02_architecture/03_system_architecture.md,yes,easy,single-hop,1.201,5,"[""05_operations\\15_oncall_handbook.md"", ""02_architecture\\03_system_architecture.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""08_postmortems\\27_incident_2026_05_08.md"", ""06_security\\21_data_classification.md""]",True,2,0.5,
Q007,architecture,库存预占和支付确认采用强一致还是最终一致？,通过事件驱动实现最终一致性，跨服务补偿使用Saga和幂等补偿命令。,02_architecture/03_system_architecture.md,yes,medium,concept,1.251,5,"[""07_product\\25_customer_faq.md"", ""02_architecture\\03_system_architecture.md"", ""05_operations\\19_runbook_payment_callback.md"", ""01_company\\01_company_profile.md"", ""05_operations\\15_oncall_handbook.md""]",True,2,0.5,
Q008,architecture,订单创建接口的P95延迟目标是多少？,正常负载下P95小于300ms。,02_architecture/03_system_architecture.md,yes,easy,metric,1.144,5,"[""04_deployment\\12_release_and_rollback.md"", ""05_operations\\17_runbook_database_high_cpu.md"", ""08_postmortems\\27_incident_2026_05_08.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""02_architecture\\03_system_architecture.md""]",True,5,0.2,
Q009,architecture,Notification Service故障是否应该阻塞订单主流程？,不应该，通知故障不得阻塞订单主流程。,02_architecture/04_service_catalog.md,yes,easy,dependency,0.349,5,"[""02_architecture\\04_service_catalog.md"", ""02_architecture\\03_system_architecture.md"", ""06_security\\21_data_classification.md"", ""10_legacy\\29_legacy_order_api_v1.md"", ""05_operations\\15_oncall_handbook.md""]",True,1,1.0,
Q010,architecture,生产Kafka主题默认有多少分区和副本？,默认6分区、3副本。,02_architecture/03_system_architecture.md,yes,easy,metric,0.395,5,"[""05_operations\\18_runbook_kafka_backlog.md"", ""02_architecture\\03_system_architecture.md"", ""05_operations\\14_monitoring_and_alerts.md"", ""04_deployment\\11_kubernetes_deployment.md"", ""02_architecture\\04_service_catalog.md""]",True,2,0.5,
Q011,api,调用订单写接口必须携带哪些请求头？,Authorization、X-Tenant-ID、X-Request-ID和Idempotency-Key。,03_api/06_authentication_api.md;03_api/07_order_api.md,yes,medium,multi-source,0.354,5,"[""03_api\\06_authentication_api.md"", ""06_security\\20_access_control.md"", ""05_operations\\19_runbook_payment_callback.md"", ""02_architecture\\05_order_data_flow.md"", ""05_operations\\18_runbook_kafka_backlog.md""]",True,1,1.0,
Q012,api,访问Token和刷新令牌分别有效多久？,访问Token默认60分钟，刷新令牌30天。,03_api/06_authentication_api.md,yes,easy,auth,0.331,5,"[""03_api\\06_authentication_api.md"", ""07_product\\25_customer_faq.md"", ""02_architecture\\04_service_catalog.md"", ""03_api\\09_webhook_spec.md"", ""06_security\\21_data_classification.md""]",True,1,1.0,
Q013,security,服务账号密钥多久轮换一次？,最长90天轮换一次，新旧密钥允许并存24小时用于过渡。,03_api/06_authentication_api.md;06_security/22_secrets_management.md,yes,medium,multi-source,0.333,5,"[""06_security\\22_secrets_management.md"", ""06_security\\20_access_control.md"", ""07_product\\25_customer_faq.md"", ""06_security\\21_data_classification.md"", ""03_api\\06_authentication_api.md""]",True,1,1.0,
